Year,Region,Forest,CCF_Attainment,CCF_Offer,MBF_Attainment,MBF_Offer
2006,"01 R1, Northern Region",02 Beaverhead/Deerlodge National Forest,16473.55,,7244.44,
2006,"01 R1, Northern Region",03 Bitterroot N.F. National Forest,9245.71,,4133.71,
2006,"01 R1, Northern Region",04 Idaho Panhandle National Forest,92961.39,,45635.67,
2006,"01 R1, Northern Region",05 Clearwater National Forest,20575.11,,10351.62,
2006,"01 R1, Northern Region",08 Custer National Forest,13131.0,,5930.28,
2006,"01 R1, Northern Region",10 Flathead National Forest,67346.69,,33847.4,
2006,"01 R1, Northern Region",11 Gallatin National Forest,9088.56,,4343.4,
2006,"01 R1, Northern Region",12 Helena National Forest,16265.95,,7378.89,
2006,"01 R1, Northern Region",14 Kootenai National Forest,61229.39,,30429.53,
2006,"01 R1, Northern Region",15 Lewis And Clark National Forest,7526.79,,3174.36,
2006,"01 R1, Northern Region",16 Lolo National Forest,24418.82,,11877.87,
2006,"01 R1, Northern Region",17 Nez Perce National Forest,73537.2,,37698.06,
2006,"01 R1, Northern Region",Region Total,411800.16,,202045.2,
2006,"02 R2, Rocky Mountain Region",02 Bighorn National Forest,34890.3,,16817.33,
2006,"02 R2, Rocky Mountain Region",03 Black Hills National Forest,152342.89,,72709.71,
2006,"02 R2, Rocky Mountain Region",04 GrandMesa/Uncompahgre/Gunnison National Forest,22989.68,,11675.96,
2006,"02 R2, Rocky Mountain Region",06 Medicine Bow/Routt National Forest,62253.11,,30161.11,
2006,"02 R2, Rocky Mountain Region",07 Nebraska National Forest,787.19,,375.6,
2006,"02 R2, Rocky Mountain Region",09 Rio Grande National Forest,23238.04,,12087.61,
2006,"02 R2, Rocky Mountain Region",10 Arapaho/Roosevelt National Forest,34459.99,,16630.32,
2006,"02 R2, Rocky Mountain Region",12 Pike-San Isabel National Forest,19202.07,,8528.62,
2006,"02 R2, Rocky Mountain Region",13 San Juan National Forest,26714.61,,13234.78,
2006,"02 R2, Rocky Mountain Region",14 Shoshone National Forest,11317.25,,6050.49,
2006,"02 R2, Rocky Mountain Region",15 White River National Forest,25720.65,,13061.5,
2006,"02 R2, Rocky Mountain Region",Region Total,413915.78,,201333.03,
2006,"03 R3, Southwestern Region",01 Apache/Sitgreaves National Forest,27021.47,,14933.5,
2006,"03 R3, Southwestern Region",02 Carson National Forest,10147.13,,6407.35,
2006,"03 R3, Southwestern Region",03 Cibola National Forest,10681.75,,5343.47,
2006,"03 R3, Southwestern Region",04 Coconino National Forest,75033.54,,38775.0,
2006,"03 R3, Southwestern Region",05 Coronado National Forest,612.86,,388.55,
2006,"03 R3, Southwestern Region",06 Gila National Forest,10370.5,,5850.26,
2006,"03 R3, Southwestern Region",07 Kaibab National Forest,25600.68,,14544.51,
2006,"03 R3, Southwestern Region",08 Lincoln National Forest,15145.02,,8390.57,
2006,"03 R3, Southwestern Region",09 Prescott National Forest,16444.11,,8892.43,
2006,"03 R3, Southwestern Region",10 Santa Fe National Forest,20810.6,,12255.67,
2006,"03 R3, Southwestern Region",12 Tonto National Forest,4283.29,,2348.54,
2006,"03 R3, Southwestern Region",Region Total,216150.95,,118129.86,
2006,"04 R4, Intermountain Region",01 Ashley National Forest,13709.67,,6499.49,
2006,"04 R4, Intermountain Region",02 Boise National Forest,55508.94,,29611.76,
2006,"04 R4, Intermountain Region",03 Bridger-Teton National Forest,22624.53,,11353.61,
2006,"04 R4, Intermountain Region",07 Dixie National Forest,26799.05,,12066.45,
2006,"04 R4, Intermountain Region",08 Fishlake National Forest,10754.45,,5904.96,
2006,"04 R4, Intermountain Region",10 Manti-Lasal National Forest,6018.97,,3409.87,
2006,"04 R4, Intermountain Region",12 Payette National Forest,31212.26,,16324.47,
2006,"04 R4, Intermountain Region",13 Salmon-Challis National Forest,16741.51,,8632.26,
2006,"04 R4, Intermountain Region",14 Sawtooth National Forest,8342.97,,4637.46,
2006,"04 R4, Intermountain Region",15 Caribou/Targhee National Forest,19963.22,,10520.25,
2006,"04 R4, Intermountain Region",17 Humboldt & Toiy National Forest,11258.99,,6498.72,
2006,"04 R4, Intermountain Region",18 Uinta National Forest,7360.26,,4209.63,
2006,"04 R4, Intermountain Region",19 Wasatch-Cache National Forest,1756.87,,987.08,
2006,"04 R4, Intermountain Region",Region Total,232051.69,,120656.01,
2006,"05 R5, Pacific S-West Region",01 Angeles National Forest,759.75,,379.88,
2006,"05 R5, Pacific S-West Region",02 Cleveland National Forest,121.0,,60.5,
2006,"05 R5, Pacific S-West Region",03 Eldorado National Forest,147309.46,,87952.6,
2006,"05 R5, Pacific S-West Region",04 Inyo National Forest,6519.6,,3259.8,
2006,"05 R5, Pacific S-West Region",05 Klamath National Forest,40519.52,,20728.89,
2006,"05 R5, Pacific S-West Region",06 Lassen National Forest,147215.73,,60651.76,
2006,"05 R5, Pacific S-West Region",07 Los Padres National Forest,323.0,,161.5,
2006,"05 R5, Pacific S-West Region",08 Mendocino Nf National Forest,7832.39,,4678.37,
2006,"05 R5, Pacific S-West Region",09 Modoc National Forest,26099.33,,13066.65,
2006,"05 R5, Pacific S-West Region",10 Six Rivers National Forest,24928.77,,12730.52,
2006,"05 R5, Pacific S-West Region",11 Plumas National Forest,53907.48,,29529.13,
2006,"05 R5, Pacific S-West Region",12 San Bernardino National Forest,8474.5,,4260.53,
2006,"05 R5, Pacific S-West Region",13 Sequoia National Forest,3614.74,,1837.2,
2006,"05 R5, Pacific S-West Region",14 Shasta-Trinity National Forest,93817.3,,40428.63,
2006,"05 R5, Pacific S-West Region",15 Sierra National Forest,16196.62,,8130.62,
2006,"05 R5, Pacific S-West Region",16 Stanislaus National Forest,46064.84,,21328.01,
2006,"05 R5, Pacific S-West Region",17 Tahoe National Forest,53275.07,,28581.82,
2006,"05 R5, Pacific S-West Region",19 Lake Tahoe BASIN National Forest,4383.44,,2191.72,
2006,"05 R5, Pacific S-West Region",Region Total,681362.54,,339958.11,
2006,"06 R6, Pacific N-West Region",01 Deschutes National Forest,78868.92,,38616.66,
2006,"06 R6, Pacific N-West Region",02 Fremont-Winema National Forest,113988.27,,57206.97,
2006,"06 R6, Pacific N-West Region",03 Gifford Pinchot National Forest,27934.6,,15062.07,
2006,"06 R6, Pacific N-West Region",04 Malheur National Forest,53322.62,,27580.81,
2006,"06 R6, Pacific N-West Region",05 Mt. Baker/Snoqualmie National Forest,258.22,,134.33,
2006,"06 R6, Pacific N-West Region",06 Mt. Hood National Forest,73039.22,,38001.34,
2006,"06 R6, Pacific N-West Region",07 Ochoco National Forest,12418.72,,6350.59,
2006,"06 R6, Pacific N-West Region",09 Olympic National Forest,12532.85,,6518.51,
2006,"06 R6, Pacific N-West Region",10 Rogue River-Siskiyou National Forest,86000.25,,51294.29,
2006,"06 R6, Pacific N-West Region",12 Siuslaw National Forest,65473.38,,31221.22,
2006,"06 R6, Pacific N-West Region",14 Umatilla National Forest,91708.07,,49918.38,
2006,"06 R6, Pacific N-West Region",15 Umpqua National Forest,112974.17,,64054.45,
2006,"06 R6, Pacific N-West Region",16 Wallowa-Whitman National Forest,56073.28,,29521.67,
2006,"06 R6, Pacific N-West Region",17 Okanogan-Wenatchee National Forest,65353.93,,34179.11,
2006,"06 R6, Pacific N-West Region",18 Willamette National Forest,144752.77,,76476.0,
2006,"06 R6, Pacific N-West Region",21 Colville National Forest,82441.47,,43060.0,
2006,"06 R6, Pacific N-West Region",Region Total,1077140.73,,569196.39,
2006,"08 R8, Southern Region",01 NFS In Alabama National Forest,69905.0,,35151.0,
2006,"08 R8, Southern Region",02 Daniel Boone National Forest,2594.59,,1583.36,
2006,"08 R8, Southern Region",03 Chattahochee/Oconee National Forest,23231.18,,11617.38,
2006,"08 R8, Southern Region",04 Cherokee National Forest,15488.32,,8337.83,
2006,"08 R8, Southern Region",05 NFS In Florida National Forest,65416.0,,33742.67,
2006,"08 R8, Southern Region",06 Kisatchie National Forest,109556.44,,56364.09,
2006,"08 R8, Southern Region",07 NF Mississippi National Forest,610384.64,,306518.11,
2006,"08 R8, Southern Region",08 George Washington & Jefferson National Forest,46554.26,,23423.92,
2006,"08 R8, Southern Region",09 Ouachita National Forest,197119.2,,99052.21,
2006,"08 R8, Southern Region",10 Ozark St. Francis National Forest,110745.32,,58357.72,
2006,"08 R8, Southern Region",11 NF N. Carolina National Forest,43919.4,,22887.62,
2006,"08 R8, Southern Region",12 Francis Marion National Forest,121836.01,,61515.26,
2006,"08 R8, Southern Region",13 NFS In Texas National Forest,126926.7,,63463.38,
2006,"08 R8, Southern Region",60 Land Between the Lakes National Forest,474.09,,215.29,
2006,"08 R8, Southern Region",Region Total,1544151.14,,782229.84,
2006,"09 R9, Eastern Region",03 Chippewa National Forest,49514.57,,30390.36,
2006,"09 R9, Eastern Region",04 Huron Manistee National Forest,65026.02,,40280.99,
2006,"09 R9, Eastern Region",05 Mark Twain National Forest,84600.76,,51118.09,
2006,"09 R9, Eastern Region",07 Ottawa National Forest,97664.73,,60143.07,
2006,"09 R9, Eastern Region",08 Shawnee National Forest,209.58,,132.66,
2006,"09 R9, Eastern Region",09 Superior National Forest,92791.37,,57295.4,
2006,"09 R9, Eastern Region",10 Hiawatha National Forest,63894.66,,39463.77,
2006,"09 R9, Eastern Region",12 Hoosier National Forest,77.4,,47.17,
2006,"09 R9, Eastern Region",13 Chequamegon/Nicolet National Forest,115733.03,,70429.62,
2006,"09 R9, Eastern Region",14 Wayne National Forest,10092.58,,6158.31,
2006,"09 R9, Eastern Region",19 Allegheny National Forest,50772.11,,31257.96,
2006,"09 R9, Eastern Region",20 Green Mountain National Forest,7891.12,,4870.14,
2006,"09 R9, Eastern Region",21 Monongahela National Forest,13869.15,,8392.33,
2006,"09 R9, Eastern Region",22 White Mountain National Forest,21993.81,,13568.99,
2006,"09 R9, Eastern Region",Region Total,674130.89,,413548.86,
2006,"10 R10, Alaska Region",04 Chugach National Forest,60.0,,24.6,
2006,"10 R10, Alaska Region",05 Tongass National Forest,189646.15,,85005.21,
2006,"10 R10, Alaska Region",Region Total,1939940.7766666666,,1000728.91,
2007,"01 R1, Northern Region",02 Beaverhead/Deerlodge National Forest,25612.3,25635.3,11569.83,11583.63
2007,"01 R1, Northern Region",03 Bitterroot N.F. National Forest,24316.6,22367.25,12378.23,11434.87
2007,"01 R1, Northern Region",04 Idaho Panhandle National Forest,70578.02,126269.87,34416.8,63872.45
2007,"01 R1, Northern Region",05 Clearwater National Forest,38179.44,38139.44,19820.59,19796.59
2007,"01 R1, Northern Region",08 Custer National Forest,9791.71,9791.71,4571.15,4571.15
2007,"01 R1, Northern Region",10 Flathead National Forest,71558.63,71558.63,36422.84,36422.84
2007,"01 R1, Northern Region",11 Gallatin National Forest,19197.61,14575.17,8833.45,6660.77
2007,"01 R1, Northern Region",12 Helena National Forest,9349.89,16693.4,3863.62,7512.46
2007,"01 R1, Northern Region",14 Kootenai National Forest,62963.02,67974.33,31159.26,33743.69
2007,"01 R1, Northern Region",15 Lewis And Clark National Forest,4910.11,4910.11,1960.41,1960.41
2007,"01 R1, Northern Region",16 Lolo National Forest,16411.52,25019.3,7750.28,12049.25
2007,"01 R1, Northern Region",17 Nez Perce National Forest,36846.46,44783.83,19503.78,24458.24
2007,"01 R1, Northern Region",Region Total,389715.31,467718.34,192250.23,234066.34
2007,"02 R2, Rocky Mountain Region",02 Bighorn National Forest,9335.18,9335.18,4558.8,4558.8
2007,"02 R2, Rocky Mountain Region",03 Black Hills National Forest,183254.81,196558.11,90947.66,97968.11
2007,"02 R2, Rocky Mountain Region",04 GrandMesa/Uncompahgre/Gunnison National Forest,24234.59,31650.37,10730.01,14168.89
2007,"02 R2, Rocky Mountain Region",06 Medicine Bow-Routt National Forest,78154.84,103294.01,37516.2,49227.26
